Название,Ссылка,Rss,Selector,Кодировка,Рекамендованно
МКRU Общество,https://www.mk.ru,https://www.mk.ru/rss/social/index.xml,,,
МКRU Культура,https://www.mk.ru,https://www.mk.ru/rss/culture/index.xml,,,
МКRU Наука,https://www.mk.ru,https://www.mk.ru/rss/science/index.xml,,,
МКRU Спорт,https://www.mk.ru,https://www.mk.ru/rss/sport/index.xml,,,
Дождь ТВ Все материалы,https://tvrain.ru,https://tvrain.ru/export/rss/all.xml,,,
Эхо москвы - Тексты всех передач,https://echo.msk.ru,https://echo.msk.ru/interview/rss-fulltext.xml,,,
Фонтанка Ру,https://www.fontanka.ru,https://www.fontanka.ru/fontanka.rss,,,
Газета РУ Главное: Первая полоса,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/first.xml,,,
Газета РУ Главное: Хроника дня,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/lenta.xml,,,
Газета РУ Главное: Новость часа,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/lastnews.xml,,,
Газета РУ Политика: Новости политики,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/politics_news.xml,,,
Газета РУ Бизнес: Деловые новости,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/busnews.xml,,,
Газета РУ Общество:Новости,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/social_more.xml,,,
Газета РУ Стиль:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/lifestyle_news.xml,,,
Газета РУ Технологии:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/tech_news.xml,,,
Газета РУ Армия:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/army_news.xml,,,
Газета РУ Мнения:Заметки,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/comments.xml,,,
Газета РУ Культура:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/culture_more.xml,,,
Газета РУ Наука:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/science_more.xml,,,
Газета РУ Спорт:,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/sportnews.xml,,,
Газета РУ Авто:Новости,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/autonews.xml,,,
Газета РУ Авто:Тестдрайвы,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/auto_testdrive.xml,,,
Газета РУ Авторские колонки,https://www.gazeta.ru,https://www.gazeta.ru/export/rss/kolonka.xml,,,
life.ru,https://life.ru,https://life.ru/xml/feed.xml,,,
wday.ru - новости шоуБ,http://www.wday.ru,http://www.wday.ru/rss/,,,
Дни ру - новости шоуБ,https://dni.ru,https://dni.ru/rss.xml,,,
Чемпионат - все новсти спорта,https://www.championat.com,https://www.championat.com/rss/news/,,,1
Чемпионат - все статьи,https://www.championat.com,https://www.championat.com/rss/article/,,,
URA.RU,https://ura.news,https://ura.news/rss,,,
Журнал 7 дней,https://7days.ru,https://7days.ru/rss/all/,,,
За Рулем,https://www.zr.ru,https://www.zr.ru/rss-yandex/,,,1
Аргументы и Факты,http://www.aif.ru,http://www.aif.ru/rss/all.php,,,
elle.ru - женский журнал,https://www.elle.ru,https://www.elle.ru/rss/elle_ru/rss.xml,,,
Взгляд,https://vz.ru,https://vz.ru/rss.xml,,,
Радиус - бизнес,https://www.ridus.ru,https://www.ridus.ru/rss/news,,,1
Независимая Газета,http://www.ng.ru,http://www.ng.ru/rss/,,,
znak.com - политика,https://www.znak.com,https://www.znak.com/rss,,,
ASTV.RU,https://astv.ru,https://astv.ru/rss/lenta,,,
tourdom.ru,https://www.tourdom.ru,https://www.tourdom.ru/rss/,,,
naked-science - основной,https://naked-science.ru,https://naked-science.ru/feedrss.xml,,,1
naked-science - подкаст,https://naked-science.ru,https://rss.simplecast.com/podcasts/3284/rss,,,
naked-science - наука,https://naked-science.ru,https://naked-science.ru/sci_rss.xml,,,
naked-science - Hi-Tech,https://naked-science.ru,https://naked-science.ru/hi-tech_rss.xml,,,
naked-science - Интервью,https://naked-science.ru,https://naked-science.ru/interview_rss.xml,,,
naked-science - С точки зрения науки,https://naked-science.ru,https://naked-science.ru/nakedscience_rss.xml,,,
naked-science - Оружие и техника,https://naked-science.ru,https://naked-science.ru/tech_rss.xml,,,
naked-science - Медиа,https://naked-science.ru,https://naked-science.ru/media_rss.xml,,,
naked-science - Психология,https://naked-science.ru,https://naked-science.ru/psy_rss.xml,,,
naked-science - Concept,https://naked-science.ru,https://naked-science.ru/concept_rss.xml,,,
naked-science - Фотогалерея,https://naked-science.ru,https://naked-science.ru/photo_rss.xml,,,
naked-science - Фото дня,https://naked-science.ru,https://naked-science.ru/day_rss.xml,,,
naked-science - Sci-Fi,https://naked-science.ru,https://naked-science.ru/sci-fi_rss.xml,,,
naked-science - History ,https://naked-science.ru,https://naked-science.ru/history_rss.xml,,,
naked-science - Live,https://naked-science.ru,https://naked-science.ru/live_rss.xml,,,
tproger.ru,https://tproger.ru,https://tproger.ru/feed/,,,
Вокруг света - Новые статьи,http://www.vokrugsveta.ru,http://www.vokrugsveta.ru/rss/articles.xml,,,1
Вокруг света - RSS новостей,http://www.vokrugsveta.ru,http://www.vokrugsveta.ru/rss/news.xml,,,
Вокруг света -  RSS фото дня: ,http://www.vokrugsveta.ru,http://www.vokrugsveta.ru/rss/photo_of_the_day.xml,,,
Вокруг света - RSS блогов,http://www.vokrugsveta.ru,http://www.vokrugsveta.ru/blogs/rss/rss2/,,,
top gear,https://topgearrussia.ru,https://topgearrussia.ru/rss/news.rss,,,
Авто взгляд,http://www.avtovzglyad.ru,http://www.avtovzglyad.ru/rss/index.xml,,,
AD Архитиктура ,https://www.admagazine.ru,https://www.admagazine.ru/rss/,,,
zozhnik,http://zozhnik.ru,http://zozhnik.ru/feed/,,,
Игромания,https://www.igromania.ru,https://www.igromania.ru/rss/all.rss,,,1
playground Новости ,http://www.playground.ru,http://www.playground.ru/rss/news.xml,,,1
playground Статьи,http://www.playground.ru,http://www.playground.ru/rss/articles.xml,,,
playground Читы,http://www.playground.ru,http://www.playground.ru/rss/cheats.xml,,,
playground Файлы,http://www.playground.ru,http://www.playground.ru/rss/files.xml,,,
noob-club игры,https://www.noob-club.ru,https://www.noob-club.ru/rss2.xml,,,
Горький - культура,https://gorky.media,https://gorky.media/feed/,,,
Военное обозрение,https://topwar.ru,https://topwar.ru/rss.xml,,,
Вести,https://www.vesti.ru,https://www.vesti.ru/vesti.rss,,,
РТ на русском,https://russian.rt.com,https://russian.rt.com/rss,,,
Известия,https://iz.ru,https://iz.ru/xml/rss/all.xml,,,
Звезда,https://tvzvezda.ru,https://tvzvezda.ru/export/rss.xml,,,
Правда Ру - Политика  ,https://www.pravda.ru,https://www.pravda.ru/politics/export.xml,,,
Правда Ру - Мир  ,https://www.pravda.ru,https://www.pravda.ru/world/export.xml,,,
Правда Ру - Общество,https://www.pravda.ru,https://www.pravda.ru/society/export.xml,,,
Правда Ру - Наука и техника ,https://www.pravda.ru,https://www.pravda.ru/science/export.xml,,,
Правда Ру - Экономика ,https://www.pravda.ru,https://www.pravda.ru/economics/export.xml,,,
Правда Ру - Россия ,https://www.pravda.ru,https://www.pravda.ru/districts/export.xml,,,
Правда Ру - Культура,https://www.pravda.ru,https://www.pravda.ru/culture/export.xml,,,
Правда Ру -  Politonline.ru ,https://www.pravda.ru,http://www.politonline.ru/rss/article.xml,,,
Правда Ру - Здоровье,https://www.pravda.ru,http://www.medpulse.ru/all.xml,,,
Правда Ру - Моя семья ,https://www.pravda.ru,http://www.missus.ru/all.xml,,,
Правда Ру - Происшествия  ,https://www.pravda.ru,https://www.pravda.ru/accidents/export.xml,,,
Правда Ру - Бизнес,https://www.pravda.ru,http://www.bigness.ru/rss,,,
Правда Ру - Путешествия ,https://www.pravda.ru,https://www.pravda.ru/travel/export.xml,,,
Правда Ру - События недели ,https://www.pravda.ru,https://www.pravda.ru/week/export.xml,,,
ren.tv,http://ren.tv,http://ren.tv/export/feed.xml,,,
4pda - технологии ,http://4pda.ru,http://4pda.ru/feed/,,,
3dnews - Новости hardware,https://3dnews.ru,https://3dnews.ru/news/rss/,,,
3dnews - Новости software,https://3dnews.ru,https://3dnews.ru/software-news/rss/,,,
3dnews - Умные Вещи,https://3dnews.ru,https://3dnews.ru/smart-things/rss/,,,
3dnews - Аналитика,https://3dnews.ru,https://3dnews.ru/editorial/rss/,,,
3dnews - Процессоры и память,https://3dnews.ru,https://3dnews.ru/cpu/rss/,,,
3dnews - Материнские платы,https://3dnews.ru,https://3dnews.ru/motherboard/rss/,,,
3dnews - Корпуса, БП и охлаждение,https://3dnews.ru,https://3dnews.ru/cooling/rss/,,,
3dnews - Видеокарты,https://3dnews.ru,https://3dnews.ru/video/rss/,,,
3dnews - Мониторы и проекторы,https://3dnews.ru,https://3dnews.ru/display/rss/,,,
3dnews - Накопители,https://3dnews.ru,https://3dnews.ru/storage/rss/,,,
3dnews - Цифровой автомобиль,https://3dnews.ru,https://3dnews.ru/auto/rss/,,,
3dnews - Сотовая связь,https://3dnews.ru,https://3dnews.ru/phone/rss/,,,
3dnews - Периферия,https://3dnews.ru,https://3dnews.ru/peripheral/rss/,,,
3dnews - Ноутбуки и ПК,https://3dnews.ru,https://3dnews.ru/mobile/rss/,,,
3dnews - Планшеты,https://3dnews.ru,https://3dnews.ru/tablets/rss/,,,
3dnews - Звук и акустика,https://3dnews.ru,https://3dnews.ru/multimedia/rss/,,,
3dnews - Цифровое фото и видео,https://3dnews.ru,https://3dnews.ru/digital/rss/,,,
3dnews - Сети и коммуникации,https://3dnews.ru,https://3dnews.ru/communication/rss/,,,
3dnews - Игры,https://3dnews.ru,https://3dnews.ru/games/rss/,,,
3dnews - Программное обеспечение,https://3dnews.ru,https://3dnews.ru/software/rss/,,,
3dnews - Off-сянка,https://3dnews.ru,https://3dnews.ru/offsyanka/rss/,,,
3dnews - Мастерская,https://3dnews.ru,https://3dnews.ru/workshop/rss/,,,
iphones.ru,https://www.iphones.ru,https://www.iphones.ru/feed,,,
akket.com - техника,https://akket.com,https://akket.com/feed,,,
mobile-review.com,http://mobile-review.com,http://mobile-review.com/news/feed,,,
hi-news.ru,https://hi-news.ru,https://hi-news.ru/feed,,,
vc.ru,https://vc.ru,https://vc.ru/rss/all,,,
androidinsider.ru,https://androidinsider.ru,https://androidinsider.ru/feed,,,
trashbox - Главная страница,https://trashbox.ru,https://trashbox.ru/feed/?approved,,,
trashbox -Все новые топики,https://trashbox.ru,https://trashbox.ru/feed/,,,
trashbox - Программы,https://trashbox.ru,https://trashbox.ru/feed/apps/,,,
trashbox - Игры,https://trashbox.ru,https://trashbox.ru/feed/games/,,,
trashbox - Новости,https://trashbox.ru,https://trashbox.ru/feed/news/,,,
trashbox - Статьи,https://trashbox.ru,https://trashbox.ru/feed/texts/,,,
trashbox - Обзоры,https://trashbox.ru,https://trashbox.ru/feed/reviews/,,,
trashbox - Вопросы,https://trashbox.ru,https://trashbox.ru/feed/forum/,,,
 cnews.ru - все нровости,http://www.cnews.ru,http://www.cnews.ru/inc/rss/news.xml,,,
 cnews.ru - главные новсти,http://www.cnews.ru,http://www.cnews.ru/inc/rss/news_top.xml,,,
 cnews.ru - лента новостей,http://www.cnews.ru,http://www.cnews.ru/inc/rss/news_line.xml,,,
 cnews.ru - безопасность,http://www.cnews.ru,http://www.cnews.ru/inc/rss/safe.xml,,,
 cnews.ru - Открытое ПО,http://www.cnews.ru,http://www.cnews.ru/inc/rss/rss_open.xml,,,
 cnews.ru - Аналитика,http://www.cnews.ru,http://www.cnews.ru/inc/rss/analytics.xml,,,
 cnews.ru - мероприятия,http://www.cnews.ru,http://www.cnews.ru/inc/rss/agenda.xml,,,
 cnews.ru - ИКТ-безнесс,http://www.cnews.ru,http://www.cnews.ru/inc/rss/biz.xml,,,
 cnews.ru - телеком,http://www.cnews.ru,http://www.cnews.ru/inc/rss/telecom.xml,,,
 cnews.ru - итеграция,http://www.cnews.ru,http://www.cnews.ru/inc/rss/corp.xml,,,
 cnews.ru - интернет,http://www.cnews.ru,http://www.cnews.ru/inc/rss/internet.xml,,,
 cnews.ru - zoom-статьи,http://www.cnews.ru,http://zoom.cnews.ru/inc/rss/rss_zoom.xml,,,
 cnews.ru - zoom-новости,http://www.cnews.ru,http://zoom.cnews.ru/inc/rss/rss_zoom_news.xml,,,
 cnews.ru - наука,http://www.cnews.ru,http://zoom.cnews.ru/rnd/inc/rss/rss.xml,,,
 cnews.ru - игры,http://www.cnews.ru,http://zoom.cnews.ru/games/inc/rss/rss.xml,,,
 cnews.ru - soft,http://www.cnews.ru,http://zoom.cnews.ru/soft/inc/rss/rss.xml,,,
Эксперт ,http://expert.ru,http://expert.ru/doc-list/rss/,,,
ВЕСТИ-экономика,https://www.vestifinance.ru,https://www.vestifinance.ru/yandex.xml,,,
forbes ру,http://www.forbes.ru,http://www.forbes.ru/newrss.xml,,,
Клерк.ру,https://www.klerk.ru,https://www.klerk.ru/xml/index.xml,,,
ПОВАРЁНОК.РУ - все новсти,https://www.povarenok.ru,https://www.povarenok.ru/rss/news/,,,1
ПОВАРЁНОК.РУ - все рецепты,https://www.povarenok.ru,https://www.povarenok.ru/rss/recipes/,,,
ПОВАРЁНОК.РУ - все статьи,https://www.povarenok.ru,https://www.povarenok.ru/rss/articles/,,,
ПОВАРЁНОК.РУ - все дневники,https://www.povarenok.ru,https://www.povarenok.ru/rss/blog/,,,
Гастраномъ,https://www.gastronom.ru/RSS,https://www.gastronom.ru/RSS,,,1
ГАРАНТ.РУ,http://www.garant.ru,http://rss.garant.ru/news/,,,
womanhit,http://www.womanhit.ru,http://www.womanhit.ru/rss/index.xml,,,
Вся правда,http://allpravda.info,http://allpravda.info/rss/index,,,
popcornnews,https://www.popcornnews.ru,https://www.popcornnews.ru/rss.php?1,,,
